objectid,filename,youtubeid,title,date,date is approximate?,description,subject,location,degree-latitude,degree-longitude,format,latitude,longitude
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0205,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0205.jpg,,IMAG0205.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0207,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0207.jpg,,IMAG0207.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0209,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0209.jpg,,IMAG0209.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0211,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0211.jpg,,IMAG0211.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0213,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0213.jpg,,IMAG0213.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0215,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0215.jpg,,IMAG0215.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0217,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0217.jpg,,IMAG0217.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0219,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0219.jpg,,IMAG0219.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0221,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0221.jpg,,IMAG0221.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0223,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0223.jpg,,IMAG0223.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0225,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0225.jpg,,IMAG0225.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
